,A-KJ721696,A-MW715611,A-MG181891,A-MG181770,A-PX211585,A-LC514474,A-LC514485,A-MZ546114,A-LC514496,A-KU550290,A-KX880416,A-KU550289,A-KU550287,A-PX211521,A-OP850499,A-OP850501,A-OP850500,A-OP850498,A-OP850496,A-LC105568,A-KJ752165,A-KC834699,A-PX211620,A-KJ919729,A-KC443360,A-KC443371,A-KC443226,A-HQ657142,A-LC169988,A-LC169977,A-KF716338,A-LC514507,A-LC514518,A-PP861551,A-PP861497,A-OP850495,A-KC443349,A-PX211583,A-LC228374,A-LC568992,A-LC477420,A-LC228341,A-LC569020,A-LC228352,A-LC569037,A-OP717489,A-OP717486,A-KJ721702,A-MN478872,A-MN478868,A-MN478860,A-MN478859,A-MN478813,A-KJ721706,B-KJ639027,B-KJ639016,B-PX211523,B-LC260235,B-LC260239,B-LC228330,B-LC228319,B-KU550288,B-MH569771,B-LC541984,B-MF997039,B-KU550286,B-KU870412,B-KU870390,B-LC469484,B-MH569767,B-MH704728,B-LC228308,B-MG670610,B-MG670618,B-MG670617,B-MG670614,B-MG670601,B-LC086729,B-LC086718,B-LC260233,B-KX880427,B-MH704729,B-LC751154,B-LC751124,B-KY616890,B-AB848006,B-MG599533,B-LC325462,B-KU059792,B-KU059781,B-KU059770,B-LC066643,B-MG599534,B-LC066665,B-LC066654,B-AB975603,B-AB975604,B-AB975573,B-AB975575,B-MH170024,B-MT732502,B-MT723921,B-LC169944,B-MT410499,B-LC386069,B-LC169966,B-LC169955,B-KC443459,B-KC443204,B-PX211600,B-KJ919794,B-LC086806,B-LC086784,B-LC086795,B-LC086740,B-PP861485,B-OP850494,B-PP861495,B-MN478949,B-KF716345,B-KF716344,B-MG670615,B-MG670612,B-LC105579,B-MG181660,B-KU356578,B-HQ641358,B-KC178807,B-KC442978,A-KR705205,B-KJ721700,B-KC443767,B-KC443635,B-KC443327,B-KC443011,B-KC178803,B-KC442967,B-KU248409,B-KU199274,B-KU248398
A-KX880416,97.24,97.49,97.65,97.49,99.75,99.58,99.66,99.83,99.83,99.92,,100.00,100.00,99.25,99.25,99.41,99.41,99.41,99.33,97.91,97.82,98.32,98.41,98.58,98.49,98.07,98.07,98.32,98.32,98.32,98.41,97.82,97.99,97.99,98.07,98.07,98.41,98.03,98.24,98.24,98.24,98.24,98.32,98.32,98.32,98.74,98.58,98.99,99.41,99.41,99.41,99.41,99.41,99.16,95.90,96.31,95.98,95.98,96.06,96.23,96.23,96.23,96.15,96.15,96.23,96.23,96.23,96.23,96.15,96.15,96.06,96.15,95.98,95.90,95.90,95.81,96.06,95.98,96.06,96.23,96.23,96.23,96.31,96.31,96.40,96.40,96.48,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.45,96.28,96.54,96.54,96.23,96.57,96.57,96.73,96.65,96.65,96.73,96.82,96.82,96.73,96.78,97.07,96.82,96.98,96.90,96.90,96.48,96.57,96.57,96.73,96.90,96.98,96.82,96.90,96.82,97.15,97.15,97.07,97.24,97.07,97.73,97.24,97.15,97.24,97.24,97.32,97.57,97.49,97.40,97.57,97.49
A-KU550289,97.24,97.49,97.65,97.49,99.75,99.58,99.66,99.83,99.83,99.92,100.00,,100.00,99.25,99.25,99.41,99.41,99.41,99.33,97.91,97.82,98.32,98.41,98.58,98.49,98.07,98.07,98.32,98.32,98.32,98.41,97.82,97.99,97.99,98.07,98.07,98.41,98.03,98.24,98.24,98.24,98.24,98.32,98.32,98.32,98.74,98.58,98.99,99.41,99.41,99.41,99.41,99.41,99.16,95.90,96.31,95.98,95.98,96.06,96.23,96.23,96.23,96.15,96.15,96.23,96.23,96.23,96.23,96.15,96.15,96.06,96.15,95.98,95.90,95.90,95.81,96.06,95.98,96.06,96.23,96.23,96.23,96.31,96.31,96.40,96.40,96.48,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.45,96.28,96.54,96.54,96.23,96.57,96.57,96.73,96.65,96.65,96.73,96.82,96.82,96.73,96.78,97.07,96.82,96.98,96.90,96.90,96.48,96.57,96.57,96.73,96.90,96.98,96.82,96.90,96.82,97.15,97.15,97.07,97.24,97.07,97.73,97.24,97.15,97.24,97.24,97.32,97.57,97.49,97.40,97.57,97.49
A-KU550287,97.24,97.49,97.65,97.49,99.75,99.58,99.66,99.83,99.83,99.92,100.00,100.00,,99.25,99.25,99.41,99.41,99.41,99.33,97.91,97.82,98.32,98.41,98.58,98.49,98.07,98.07,98.32,98.32,98.32,98.41,97.82,97.99,97.99,98.07,98.07,98.41,98.03,98.24,98.24,98.24,98.24,98.32,98.32,98.32,98.74,98.58,98.99,99.41,99.41,99.41,99.41,99.41,99.16,95.90,96.31,95.98,95.98,96.06,96.23,96.23,96.23,96.15,96.15,96.23,96.23,96.23,96.23,96.15,96.15,96.06,96.15,95.98,95.90,95.90,95.81,96.06,95.98,96.06,96.23,96.23,96.23,96.31,96.31,96.40,96.40,96.48,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.45,96.28,96.54,96.54,96.23,96.57,96.57,96.73,96.65,96.65,96.73,96.82,96.82,96.73,96.78,97.07,96.82,96.98,96.90,96.90,96.48,96.57,96.57,96.73,96.90,96.98,96.82,96.90,96.82,97.15,97.15,97.07,97.24,97.07,97.73,97.24,97.15,97.24,97.24,97.32,97.57,97.49,97.40,97.57,97.49
A-PX211521,96.82,97.07,97.24,97.07,98.99,99.33,99.25,99.08,99.41,99.16,99.25,99.25,99.25,,99.33,99.50,99.50,99.50,99.41,97.49,97.40,97.91,98.16,98.16,98.24,97.65,97.65,97.74,97.91,97.91,97.99,97.57,97.74,97.57,97.65,97.65,97.99,97.61,97.82,97.82,97.82,97.82,97.91,97.91,97.91,98.32,98.16,98.41,98.83,98.83,98.83,98.83,98.83,98.58,95.64,96.06,95.73,95.73,95.81,95.98,95.98,96.15,95.90,95.90,95.98,95.98,95.98,95.98,95.90,95.90,95.81,95.90,95.73,95.64,95.64,95.56,95.81,95.73,95.81,96.15,96.15,96.15,96.23,96.23,96.31,96.31,96.40,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.36,96.19,96.45,96.45,95.98,96.31,96.31,96.48,96.40,96.40,96.48,96.57,96.57,96.48,96.57,96.82,96.57,96.73,96.65,96.65,96.40,96.48,96.48,96.65,96.65,96.73,96.65,96.73,96.57,96.90,96.90,96.82,96.98,96.82,97.48,96.98,96.90,96.98,96.98,97.07,97.32,97.24,97.15,97.32,97.24
A-OP850499,96.82,97.24,97.24,97.24,98.99,99.33,99.25,99.08,99.41,99.16,99.25,99.25,99.25,99.33,,99.83,99.83,99.83,99.92,97.65,97.57,97.91,97.99,97.99,98.07,97.65,97.65,97.74,97.91,97.91,97.99,97.57,97.74,97.57,97.65,97.65,97.99,97.78,97.82,97.82,97.82,97.82,97.91,97.91,97.91,98.32,98.16,98.41,98.83,98.83,98.83,98.83,98.83,98.58,95.81,96.23,95.90,95.90,95.98,96.15,96.15,96.31,96.06,96.06,96.15,96.15,96.15,96.15,96.06,96.06,95.98,96.06,95.90,95.81,95.81,95.73,95.98,95.90,95.98,95.98,95.98,96.15,96.23,96.23,96.31,96.31,96.40,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.36,96.19,96.45,96.45,95.98,96.31,96.31,96.48,96.40,96.40,96.48,96.57,96.57,96.48,96.52,96.82,96.57,96.73,96.65,96.65,96.23,96.31,96.31,96.48,96.82,96.90,96.65,96.73,96.57,96.90,96.90,96.82,97.15,96.82,97.48,96.98,96.90,96.98,96.98,97.07,97.32,97.24,97.15,97.32,97.24
A-OP850501,96.98,97.24,97.40,97.24,99.16,99.50,99.41,99.25,99.58,99.33,99.41,99.41,99.41,99.50,99.83,,100.00,100.00,99.92,97.82,97.74,98.07,98.16,98.16,98.24,97.82,97.82,97.91,98.07,98.07,98.16,97.74,97.91,97.74,97.82,97.82,98.16,97.95,97.99,97.99,97.99,97.99,98.07,98.07,98.07,98.49,98.32,98.58,98.99,98.99,98.99,98.99,98.99,98.74,95.81,96.23,95.90,95.90,95.98,96.15,96.15,96.31,96.06,96.06,96.15,96.15,96.15,96.15,96.06,96.06,95.98,96.06,95.90,95.81,95.81,95.73,95.98,95.90,95.98,96.15,96.15,96.15,96.23,96.23,96.31,96.31,96.40,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.36,96.19,96.45,96.45,96.15,96.48,96.48,96.65,96.57,96.57,96.65,96.73,96.73,96.65,96.69,96.98,96.73,96.90,96.82,96.82,96.40,96.48,96.48,96.65,96.98,97.07,96.82,96.90,96.73,97.07,97.07,96.98,97.15,96.98,97.65,97.15,97.07,97.15,97.15,97.24,97.49,97.40,97.32,97.49,97.40
A-OP850500,96.98,97.24,97.40,97.24,99.16,99.50,99.41,99.25,99.58,99.33,99.41,99.41,99.41,99.50,99.83,100.00,,100.00,99.92,97.82,97.74,98.07,98.16,98.16,98.24,97.82,97.82,97.91,98.07,98.07,98.16,97.74,97.91,97.74,97.82,97.82,98.16,97.95,97.99,97.99,97.99,97.99,98.07,98.07,98.07,98.49,98.32,98.58,98.99,98.99,98.99,98.99,98.99,98.74,95.81,96.23,95.90,95.90,95.98,96.15,96.15,96.31,96.06,96.06,96.15,96.15,96.15,96.15,96.06,96.06,95.98,96.06,95.90,95.81,95.81,95.73,95.98,95.90,95.98,96.15,96.15,96.15,96.23,96.23,96.31,96.31,96.40,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.36,96.19,96.45,96.45,96.15,96.48,96.48,96.65,96.57,96.57,96.65,96.73,96.73,96.65,96.69,96.98,96.73,96.90,96.82,96.82,96.40,96.48,96.48,96.65,96.98,97.07,96.82,96.90,96.73,97.07,97.07,96.98,97.15,96.98,97.65,97.15,97.07,97.15,97.15,97.24,97.49,97.40,97.32,97.49,97.40
A-OP850498,96.98,97.24,97.40,97.24,99.16,99.50,99.41,99.25,99.58,99.33,99.41,99.41,99.41,99.50,99.83,100.00,100.00,,99.92,97.82,97.74,98.07,98.16,98.16,98.24,97.82,97.82,97.91,98.07,98.07,98.16,97.74,97.91,97.74,97.82,97.82,98.16,97.95,97.99,97.99,97.99,97.99,98.07,98.07,98.07,98.49,98.32,98.58,98.99,98.99,98.99,98.99,98.99,98.74,95.81,96.23,95.90,95.90,95.98,96.15,96.15,96.31,96.06,96.06,96.15,96.15,96.15,96.15,96.06,96.06,95.98,96.06,95.90,95.81,95.81,95.73,95.98,95.90,95.98,96.15,96.15,96.15,96.23,96.23,96.31,96.31,96.40,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.31,96.36,96.19,96.45,96.45,96.15,96.48,96.48,96.65,96.57,96.57,96.65,96.73,96.73,96.65,96.69,96.98,96.73,96.90,96.82,96.82,96.40,96.48,96.48,96.65,96.98,97.07,96.82,96.90,96.73,97.07,97.07,96.98,97.15,96.98,97.65,97.15,97.07,97.15,97.15,97.24,97.49,97.40,97.32,97.49,97.40
A-OP850496,96.90,97.15,97.32,97.15,99.08,99.41,99.33,99.16,99.50,99.25,99.33,99.33,99.33,99.41,99.92,99.92,99.92,99.92,,97.74,97.65,97.99,98.07,98.07,98.16,97.74,97.74,97.82,97.99,97.99,98.07,97.65,97.82,97.65,97.74,97.74,98.07,97.86,97.91,97.91,97.91,97.91,97.99,97.99,97.99,98.41,98.24,98.49,98.91,98.91,98.91,98.91,98.91,98.66,95.90,96.31,95.98,95.98,96.06,96.23,96.23,96.40,96.15,96.15,96.23,96.23,96.23,96.23,96.15,96.15,96.06,96.15,95.98,95.90,95.90,95.81,96.06,95.98,96.06,96.06,96.06,96.23,96.31,96.31,96.40,96.40,96.48,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.40,96.45,96.28,96.54,96.54,96.06,96.40,96.40,96.57,96.48,96.48,96.57,96.65,96.65,96.57,96.61,96.90,96.65,96.82,96.73,96.73,96.31,96.40,96.40,96.57,96.90,96.98,96.73,96.82,96.65,96.98,96.98,96.90,97.24,96.90,97.57,97.07,96.98,97.07,97.07,97.15,97.40,97.32,97.24,97.40,97.32
A-LC105568,97.49,97.74,97.74,97.74,97.99,97.82,97.91,97.74,98.07,97.99,97.91,97.91,97.91,97.49,97.65,97.82,97.82,97.82,97.74,,99.75,97.74,97.65,97.65,97.74,97.65,97.65,98.41,97.74,97.74,97.82,97.40,97.40,97.40,97.49,97.49,98.66,97.61,97.99,97.82,97.82,97.82,97.91,97.91,97.91,98.16,97.99,98.07,98.49,98.49,98.49,98.49,98.49,98.24,96.40,96.82,96.57,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,96.82,96.82,96.73,96.73,96.65,96.73,96.57,96.48,96.48,96.40,96.65,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,97.07,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.62,96.62,96.71,96.71,96.57,96.98,96.98,97.15,97.07,97.07,97.15,97.24,97.40,97.32,97.19,97.49,97.24,97.40,97.32,97.32,97.07,97.15,97.15,97.32,97.65,97.74,97.07,97.15,97.24,97.57,97.57,97.49,97.57,97.65,98.15,97.49,97.65,97.74,97.74,97.91,97.99,97.91,97.82,97.99,97.91
A-KJ752165,97.57,97.65,97.65,97.65,97.91,97.74,97.82,97.65,97.99,97.91,97.82,97.82,97.82,97.40,97.57,97.74,97.74,97.74,97.65,99.75,,97.65,97.57,97.57,97.65,97.57,97.57,98.32,97.65,97.65,97.74,97.49,97.49,97.49,97.57,97.57,98.58,97.53,97.91,97.74,97.74,97.74,97.82,97.82,97.82,98.07,97.91,97.99,98.41,98.41,98.41,98.41,98.41,98.16,96.31,96.73,96.48,96.48,96.57,96.73,96.73,96.73,96.65,96.65,96.73,96.73,96.73,96.73,96.65,96.65,96.57,96.65,96.48,96.40,96.40,96.31,96.57,96.48,96.57,96.73,96.73,96.73,96.65,96.65,96.73,96.73,96.98,96.90,96.90,96.90,96.90,96.90,96.90,96.90,96.90,96.54,96.71,96.62,96.62,96.48,96.90,96.90,97.07,96.98,96.98,97.07,97.15,97.32,97.24,97.11,97.40,97.15,97.32,97.24,97.24,96.82,96.90,96.90,97.07,97.40,97.49,96.98,97.07,97.15,97.49,97.49,97.40,97.49,97.40,98.07,97.40,97.57,97.65,97.65,97.82,97.91,97.99,97.74,97.91,97.82
