,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
A-LC569080,86.41,86.63,86.59,86.59,86.53,86.63,98.85,98.64,99.78,99.91,,99.88,99.88,99.91,99.91,99.20,99.16,98.24,98.14,97.93,98.02,97.24,97.24,96.42,97.86,98.10,97.93,98.02,98.02,98.02,98.05,97.18,97.74,97.52,97.62,97.00,97.06,96.90,96.93,96.93,97.00,97.03,97.03,97.03,97.09,97.00,97.12,97.09,97.09,97.15,97.12,96.80,97.18,97.18,97.15,97.03,97.12,97.06,97.12,97.38,97.68,97.68,97.65,97.34,97.40,96.63,96.59,96.63,96.81,96.75,96.81,96.75,96.87,97.12,97.00,97.00,97.00,96.93,96.90,97.03,97.09,97.15,97.15,97.21,97.18,97.15,97.12,97.12,97.12,97.15,97.09,97.09,97.06,96.98,96.72,96.97,96.93,96.90,96.87,96.97,96.90,96.90,97.12,97.03,97.52,97.65,97.31,97.86,97.65,97.96,95.11,94.61,94.55,94.40,94.37,94.37,94.61,94.78,95.17,94.37,94.67,94.43,94.43,96.04,94.74,94.52,94.71,94.67,94.52,94.58,94.43,94.37,94.27,94.37,94.30,94.30,94.52,94.52,94.58,94.95
A-LC228370,86.41,86.69,86.66,86.66,86.59,86.69,98.85,98.64,99.78,99.85,99.88,,99.88,99.91,99.91,99.20,99.16,98.24,98.14,97.93,98.02,97.24,97.24,96.42,97.86,98.10,97.93,98.02,98.02,98.02,98.05,97.24,97.74,97.52,97.62,97.06,97.12,96.97,97.00,97.00,97.06,97.09,97.09,97.09,97.15,97.06,97.18,97.15,97.15,97.21,97.18,96.86,97.24,97.24,97.21,97.09,97.18,97.12,97.18,97.45,97.74,97.74,97.71,97.40,97.46,96.70,96.59,96.69,96.87,96.81,96.87,96.81,96.93,97.18,97.06,97.06,97.06,97.00,96.97,97.09,97.15,97.21,97.21,97.28,97.24,97.21,97.18,97.18,97.18,97.21,97.15,97.15,97.12,96.98,96.78,97.03,97.00,96.97,96.93,97.03,96.97,96.97,97.18,97.09,97.52,97.65,97.31,97.86,97.65,97.96,95.11,94.61,94.55,94.40,94.37,94.37,94.61,94.78,95.17,94.37,94.67,94.43,94.43,96.04,94.74,94.52,94.71,94.67,94.52,94.58,94.43,94.37,94.27,94.37,94.30,94.30,94.52,94.52,94.58,94.95
A-LC569052,86.47,86.75,86.72,86.72,86.66,86.75,98.85,98.70,99.78,99.85,99.88,99.88,,99.91,99.91,99.20,99.16,98.24,98.14,97.93,98.02,97.31,97.31,96.48,97.93,98.16,97.99,98.08,98.08,98.08,98.11,97.24,97.80,97.59,97.68,97.06,97.12,96.97,97.00,97.00,97.06,97.09,97.09,97.09,97.15,97.06,97.18,97.15,97.15,97.21,97.18,96.86,97.24,97.24,97.21,97.09,97.18,97.12,97.18,97.45,97.74,97.74,97.71,97.40,97.46,96.70,96.59,96.69,96.87,96.81,96.87,96.81,96.93,97.18,97.06,97.06,97.06,97.00,96.97,97.09,97.15,97.21,97.21,97.28,97.24,97.21,97.18,97.18,97.18,97.21,97.15,97.15,97.12,96.98,96.78,97.03,97.00,96.97,96.93,97.03,96.97,96.97,97.18,97.09,97.59,97.71,97.37,97.93,97.71,98.02,95.17,94.67,94.61,94.46,94.43,94.43,94.67,94.85,95.23,94.43,94.74,94.49,94.49,96.10,94.80,94.58,94.77,94.74,94.58,94.64,94.49,94.43,94.33,94.43,94.37,94.37,94.58,94.58,94.64,95.02
A-LC228348,86.38,86.66,86.63,86.63,86.56,86.66,98.88,98.67,99.81,99.88,99.91,99.91,99.91,,99.94,99.23,99.20,98.27,98.17,97.96,98.05,97.28,97.28,96.45,97.89,98.13,97.96,98.05,98.05,98.05,98.08,97.21,97.77,97.55,97.65,97.03,97.09,96.93,96.97,96.97,97.03,97.06,97.06,97.06,97.12,97.03,97.15,97.12,97.12,97.18,97.15,96.83,97.21,97.21,97.18,97.06,97.15,97.09,97.15,97.41,97.71,97.71,97.68,97.37,97.43,96.66,96.56,96.66,96.84,96.78,96.84,96.78,96.90,97.15,97.03,97.03,97.03,96.97,96.93,97.06,97.12,97.18,97.18,97.24,97.21,97.18,97.15,97.15,97.15,97.18,97.12,97.12,97.09,96.95,96.75,97.00,96.97,96.93,96.90,97.00,96.93,96.93,97.15,97.06,97.55,97.68,97.34,97.89,97.68,97.99,95.14,94.64,94.58,94.43,94.40,94.40,94.64,94.81,95.20,94.40,94.71,94.46,94.46,96.07,94.77,94.55,94.74,94.71,94.55,94.61,94.46,94.40,94.30,94.40,94.33,94.33,94.55,94.55,94.61,94.98
A-LC228337,86.44,86.66,86.63,86.63,86.56,86.66,98.88,98.67,99.81,99.88,99.91,99.91,99.91,99.94,,99.23,99.20,98.27,98.17,97.96,98.05,97.28,97.28,96.52,97.89,98.13,97.96,98.05,98.05,98.05,98.08,97.21,97.77,97.62,97.71,97.03,97.09,96.93,96.97,96.97,97.03,97.06,97.06,97.06,97.12,97.03,97.15,97.12,97.12,97.18,97.15,96.83,97.21,97.21,97.18,97.06,97.15,97.09,97.15,97.41,97.71,97.71,97.68,97.37,97.43,96.66,96.56,96.66,96.84,96.78,96.84,96.78,96.90,97.15,97.03,97.03,97.03,96.97,96.93,97.06,97.12,97.18,97.18,97.24,97.21,97.18,97.15,97.15,97.15,97.18,97.12,97.12,97.09,96.95,96.75,97.00,96.97,96.93,96.90,97.00,96.93,96.93,97.15,97.06,97.55,97.68,97.34,97.89,97.68,97.99,95.14,94.64,94.58,94.43,94.40,94.40,94.64,94.81,95.20,94.40,94.71,94.46,94.46,96.07,94.77,94.55,94.74,94.71,94.55,94.61,94.46,94.40,94.30,94.40,94.33,94.40,94.61,94.61,94.61,94.98
A-OP717089,86.38,86.66,86.63,86.63,86.56,86.66,98.52,98.64,99.10,99.16,99.20,99.20,99.20,99.23,99.23,,99.78,98.42,98.27,98.05,98.08,97.21,97.21,96.52,97.99,98.22,97.99,98.08,98.08,98.08,98.11,97.31,97.93,97.65,97.74,97.06,97.12,96.97,97.00,97.00,97.06,97.09,97.09,97.09,97.15,97.00,97.18,97.15,97.15,97.21,97.18,96.89,97.31,97.31,97.28,97.15,97.24,97.18,97.24,97.51,97.80,97.80,97.77,97.46,97.52,96.66,96.59,96.75,96.87,96.81,96.87,96.81,96.93,97.18,97.06,97.06,97.06,96.93,96.90,97.09,97.15,97.21,97.21,97.21,97.24,97.21,97.18,97.18,97.18,97.21,97.15,97.15,97.12,96.98,96.84,97.03,97.00,96.97,96.93,97.03,96.97,96.97,97.18,97.09,97.62,97.80,97.40,97.96,97.77,98.08,95.23,94.49,94.49,94.33,94.30,94.30,94.54,94.72,95.11,94.30,94.61,94.37,94.37,96.04,94.61,94.46,94.61,94.61,94.49,94.52,94.37,94.30,94.21,94.30,94.24,94.24,94.52,94.52,94.55,94.95
A-OP717086,86.32,86.72,86.69,86.69,86.63,86.72,98.52,98.61,99.07,99.13,99.16,99.16,99.16,99.20,99.20,99.78,,98.39,98.24,98.02,98.05,97.18,97.18,96.48,97.96,98.19,97.96,98.05,98.05,98.05,98.08,97.28,97.83,97.62,97.71,97.03,97.09,96.93,96.97,96.97,97.03,97.06,97.06,97.06,97.12,96.97,97.15,97.12,97.12,97.18,97.15,96.86,97.28,97.28,97.24,97.12,97.21,97.15,97.21,97.48,97.77,97.77,97.74,97.43,97.49,96.63,96.56,96.72,96.84,96.78,96.84,96.78,96.90,97.15,97.03,97.03,97.03,96.90,96.87,97.06,97.12,97.18,97.18,97.18,97.21,97.18,97.15,97.15,97.15,97.18,97.12,97.12,97.09,96.95,96.81,97.00,96.97,96.93,96.90,97.00,96.93,96.93,97.15,97.06,97.59,97.77,97.37,97.93,97.74,98.05,95.20,94.46,94.46,94.30,94.27,94.27,94.51,94.69,95.08,94.27,94.58,94.33,94.33,96.07,94.58,94.43,94.58,94.58,94.52,94.49,94.40,94.33,94.24,94.33,94.27,94.27,94.49,94.49,94.52,94.92
A-LC105569,86.25,86.63,86.59,86.59,86.53,86.63,97.71,98.30,98.20,98.24,98.24,98.24,98.24,98.27,98.27,98.42,98.39,,99.66,98.39,98.42,96.90,96.90,96.22,97.71,97.88,97.65,97.74,97.74,97.74,97.77,96.97,97.52,97.31,97.40,96.84,96.90,96.75,96.78,96.84,96.90,96.93,96.87,96.87,96.93,96.78,96.97,96.87,96.87,96.93,96.90,96.55,97.03,97.03,97.00,96.87,96.97,96.97,96.97,97.29,97.52,97.52,97.49,97.18,97.24,96.32,96.32,96.53,96.59,96.53,96.53,96.53,96.72,96.84,96.72,96.72,96.78,96.69,96.66,96.84,96.87,96.93,96.93,96.93,96.93,96.93,96.90,96.90,96.90,96.93,96.90,96.90,96.87,96.64,96.56,96.69,96.66,96.63,96.59,96.75,96.69,96.69,96.90,96.81,97.31,97.43,97.12,97.68,97.52,97.80,95.23,94.24,94.27,94.12,94.09,94.09,94.50,94.60,94.98,94.24,94.55,94.30,94.33,95.85,94.58,94.40,94.61,94.61,94.43,94.43,94.27,94.18,94.09,94.18,94.12,94.12,94.30,94.30,94.40,94.80
A-KJ752161,86.32,86.50,86.47,86.47,86.41,86.50,97.61,98.14,98.11,98.14,98.14,98.14,98.14,98.17,98.17,98.27,98.24,99.66,,98.24,98.27,96.75,96.75,96.06,97.55,97.72,97.49,97.59,97.59,97.59,97.62,96.81,97.37,97.15,97.24,96.75,96.81,96.66,96.69,96.75,96.81,96.84,96.78,96.78,96.84,96.69,96.87,96.78,96.78,96.84,96.81,96.39,96.87,96.87,96.84,96.72,96.81,96.81,96.81,97.14,97.37,97.37,97.34,97.03,97.09,96.23,96.22,96.44,96.50,96.44,96.44,96.44,96.63,96.75,96.63,96.63,96.69,96.59,96.56,96.75,96.78,96.84,96.84,96.84,96.84,96.84,96.81,96.81,96.81,96.84,96.81,96.81,96.78,96.55,96.47,96.59,96.56,96.53,96.50,96.66,96.59,96.59,96.81,96.72,97.15,97.28,96.97,97.52,97.37,97.65,95.26,94.15,94.18,94.02,93.99,93.99,94.40,94.50,94.89,94.15,94.46,94.21,94.24,95.76,94.49,94.30,94.52,94.52,94.30,94.33,94.18,94.09,93.99,94.09,94.02,94.02,94.15,94.15,94.30,94.71
A-MG181887,86.01,86.28,86.25,86.25,86.19,86.28,97.51,97.93,97.89,97.89,97.93,97.93,97.93,97.96,97.96,98.05,98.02,98.39,98.24,,99.60,96.53,96.53,96.03,97.28,97.57,97.28,97.37,97.37,97.37,97.40,96.59,97.21,97.03,97.12,96.47,96.53,96.38,96.41,96.41,96.47,96.50,96.50,96.50,96.56,96.41,96.59,96.50,96.50,96.69,96.72,96.21,96.66,96.66,96.63,96.63,96.66,96.53,96.59,96.86,97.15,97.15,97.12,96.81,96.87,95.98,95.94,96.16,96.22,96.16,96.16,96.16,96.35,96.47,96.35,96.35,96.35,96.28,96.25,96.47,96.50,96.56,96.56,96.56,96.56,96.56,96.53,96.53,96.53,96.56,96.50,96.50,96.47,96.30,96.13,96.32,96.28,96.25,96.22,96.44,96.32,96.32,96.53,96.44,96.93,97.12,96.87,97.31,97.09,97.43,94.67,93.99,93.99,93.90,93.87,93.87,94.14,94.16,94.61,93.93,94.24,93.99,93.99,95.42,93.99,93.99,94.15,94.15,93.93,93.99,93.90,93.81,93.72,93.81,93.75,93.75,93.78,93.78,93.87,94.27
A-MG181766,86.13,86.28,86.25,86.25,86.19,86.28,97.58,97.96,98.05,97.99,98.02,98.02,98.02,98.05,98.05,98.08,98.05,98.42,98.27,99.60,,96.56,96.56,96.10,97.31,97.54,97.31,97.40,97.40,97.40,97.43,96.63,97.24,97.06,97.15,96.50,96.56,96.41,96.44,96.44,96.50,96.53,96.53,96.53,96.59,96.50,96.63,96.53,96.53,96.72,96.75,96.24,96.69,96.69,96.66,96.66,96.69,96.56,96.63,96.89,97.18,97.18,97.15,96.84,96.90,96.01,95.98,96.19,96.25,96.19,96.19,96.19,96.44,96.50,96.38,96.38,96.38,96.32,96.28,96.47,96.53,96.59,96.59,96.66,96.59,96.59,96.56,96.56,96.56,96.59,96.53,96.53,96.50,96.33,96.16,96.35,96.32,96.28,96.25,96.53,96.41,96.35,96.56,96.47,96.97,97.15,96.90,97.34,97.12,97.46,94.77,94.15,94.15,94.06,94.02,94.02,94.23,94.26,94.71,94.02,94.33,94.09,94.09,95.51,94.09,94.09,94.24,94.24,94.02,94.09,93.99,93.90,93.81,93.90,93.84,93.84,93.93,93.87,93.96,94.37
