Clade,Strain,VP4,VP6,VP1,VP2,VP3,NSP1,NSP2,NSP3,NSP4
II,DEU/GER34-16/2016/G3P[8],KX880426,KX880427,KX880428,KX880429,KX880430,KX880431,KX880432,KX880433,KX880434
II,DOM/3000503728/2016/G3P[8],MG652352,MG670614,MG670642,MG670670,MG670698,MG670726,MG670754,MG670782,MG701195
II,DOM/3000503739/2016/G3P[8],MG652356,MG670618,MG670646,MG670674,MG670702,MG670730,MG670758,MG670786,MG701199
II,IDN/SOEP075/2016/G3P[8],LC260224,LC260235,LC260246,LC260257,LC260268,LC260279,LC260290,LC260301,LC260312
II,DOM/3000503734/2016/G3P[8],MG652355,MG670617,MG670645,MG670673,MG670701,MG670729,MG670757,MG670785,MG701198
III,DEU/GER33-15/2015/G3P[8],KX880415,KX880416,KX880417,KX880418,KX880419,KX880420,KX880421,KX880422,KX880423
III,ESP/SS61720845/2015/G3P[8],KU550281,KU550287,KU550263,KU550269,KU550275,KU550299,KU550305,KU550311,KU550317
III,ESP/SS61921417/2015/G3P[8],KU550283,KU550289,KU550265,KU550271,KU550277,KU550301,KU550307,KU550313,KU550319
III,ESP/SS96217158/2015/G3P[8],KU550284,KU550290,KU550266,KU550272,KU550278,KU550302,KU550308,KU550314,KU550320
III,USA/3000642073/2016/G3P[8],MZ546113,MZ546114,MZ546115,MZ546116,MZ546117,MZ546118,MZ546119,MZ546120,MZ546121
III,THA/DBM2017-203/2017/G9P[8],LC514484,LC514485,LC514481,LC514482,LC514483,LC514487,LC514488,LC514489,LC514490
III,THA/DBM2017-016/2017/G9P[8],LC514473,LC514474,LC514470,LC514471,LC514472,LC514476,LC514477,LC514478,LC514479
III,THA/DBM2018-291/2018/G9P[8],LC514495,LC514496,LC514492,LC514493,LC514494,LC514498,LC514499,LC514500,LC514501
III,IRL/18IRL67818/2018/G8P[8],PX211226,PX211521,PX211078,PX212401,PX212549,PX211374,PX211817,PX211669,PX212113
IV,THA/LS-04/2013/G2P[8],LC086739,LC086740,LC086736,LC086737,LC086738,LC086742,LC086743,LC086744,LC086745
IV,THA/SKT-457/2014/G8P[8],LC169943,LC169944,LC169940,LC169941,LC169942,LC169946,LC169947,LC169948,LC169949
IV,THA/SSKT-269/2014/G8P[8],LC169954,LC169955,LC169951,LC169952,LC169953,LC169957,LC169958,LC169959,LC169960
IV,THA/SSL-55/2014/G8P[8],LC169965,LC169966,LC169962,LC169963,LC169964,LC169968,LC169969,LC169970,LC169971
IV,JPN/15531/2017/G8P[8],MT723920,MT723921,MT723917,MT723918,MT723919,MT723912,MT723913,MT723914,MT723915
IV,JPN/15569/2017/G8P[8],MT732501,MT732502,MT732498,MT732499,MT732500,MT732493,MT732494,MT732495,MT732496
IV,JPN/SO1162/2017/G8P[8],LC386068,LC386069,LC386065,LC386066,LC386067,LC386071,LC386072,LC386073,LC386074
IV,JPN/17287/2019/G8P[8],MT410498,MT410499,MT410495,MT410496,MT410497,MT410490,MT410491,MT410492,MT410493
V,CHN/E7081/2021/G8P[8],OP850483,OP850496,OP850444,OP850457,OP850470,OP850379,OP850392,OP850405,OP850418
V,CHN/E7102/2022/G8P[8],OP850485,OP850498,OP850446,OP850459,OP850472,OP850381,OP850394,OP850407,OP850420
V,CHN/E7103/2022/G8P[8],OP850486,OP850499,OP850447,OP850460,OP850473,OP850382,OP850395,OP850408,OP850421
V,CHN/E7105/2022/G8P[8],OP850487,OP850500,OP850448,OP850461,OP850474,OP850383,OP850396,OP850409,OP850422
V,CHN/E7107/2022/G8P[8],OP850488,OP850501,OP850449,OP850462,OP850475,OP850384,OP850397,OP850410,OP850423
