,C-MT732494,C-LC386072,C-MT723913,C-MT410491,C-LC086743,C-LC169969,C-LC169958,C-LC169947,A-KR705197,A-MW715613,A-MG181894,A-MG181773,A-LC105573,A-KJ752157,A-LC514521,A-LC514477,A-LC514510,A-MG181663,A-KJ721766,A-KF716404,A-KF716397,A-MH182454,A-MN479739,A-PP861905,A-PP861895,A-OP850390,A-LC105584,A-MG670755,A-MG670752,A-KC442959,A-LC086798,A-PX211896,A-LC086787,A-LC086809,A-KJ918955,A-LC169991,A-LC169980,A-PP861907,A-PP861961,A-OP850391,A-KF716407,A-KJ721768,A-MN479662,A-MN479658,A-MN479650,A-MN479649,A-MN479603,A-KJ721772,A-KC443341,A-PX211916,A-KJ918889,A-KC443352,A-KJ721763,A-OP717789,A-OP717786,A-PX211879,A-LC228377,A-LC228355,A-LC569337,A-LC569320,A-LC569292,A-LC477570,A-LC228344,A-HQ657134,A-KC443363,A-KC443218,A-KC443003,A-KC834693,A-KU356581,A-HQ641360,B-PX211817,B-PX211819,B-LC228333,B-LC228322,B-OP850397,B-OP850396,B-OP850395,B-OP850394,B-OP850392,B-LC514499,B-LC514488,B-MH520727,B-MH520732,B-MH704734,B-LC228311,B-KX880421,B-KU550307,B-MZ546119,B-KU550308,B-KU550305,B-KU870414,B-KU870392,B-LC541989,B-MF997042,B-KU550306,B-KU550304,B-MG670750,B-MG670758,B-MG670741,B-LC086732,B-LC086721,B-MG670757,B-MG670754,B-LC066668,B-LC066657,B-LC066646,B-LC260290,B-LC325467,B-MH704735,B-MG573362,B-MG573361,B-LC260294,B-LC260288,B-KX880432,B-KU059795,B-KU059784,B-AB975854,B-AB975825,B-KY616892,B-KU059773,B-LC751684,B-LC751714,B-LC469530,B-AB975853,B-AB975823,B-AB848011,B-KC443451,B-KC443196,B-KJ639030,B-KJ639019,B-PX211881,B-KC178727,B-KC443759,B-KC443627,B-KC443319,B-KC442970,B-KU248412,B-KU248401,B-KC178733,B-KU199277
A-MG181894,87.21,87.11,87.42,87.21,87.42,87.42,87.42,87.42,92.64,98.32,,99.79,98.32,98.22,96.02,96.02,95.70,96.12,95.91,95.81,95.91,95.60,95.91,95.49,95.49,95.60,95.70,95.81,95.81,96.33,96.33,96.12,96.54,96.65,96.54,96.65,96.65,96.86,96.86,96.86,96.65,96.86,96.96,96.96,97.06,97.06,97.06,97.06,96.86,95.60,96.23,96.23,96.86,96.96,96.86,96.38,96.54,96.54,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.54,97.06,96.33,97.06,95.55,95.60,95.39,95.39,95.28,95.28,95.28,95.28,95.28,95.81,95.81,95.70,95.81,95.81,95.81,95.60,95.60,95.70,95.70,95.70,95.49,95.49,95.60,95.70,95.70,95.70,95.39,95.39,95.60,95.60,95.60,95.49,95.49,95.70,95.70,95.91,95.70,95.70,95.81,96.12,96.17,95.81,95.70,95.70,95.81,95.91,95.86,95.87,95.91,95.91,95.81,95.91,96.02,95.97,95.98,96.02,96.23,96.12,95.91,95.91,95.44,95.75,95.91,95.91,95.91,96.23,96.33,96.33,96.44,96.23
A-MG181773,87.21,87.11,87.42,87.21,87.42,87.42,87.42,87.42,92.53,98.32,99.79,,98.32,98.22,96.02,96.02,95.70,96.12,95.91,95.81,95.91,95.60,95.91,95.49,95.49,95.60,95.70,95.81,95.81,96.33,96.33,96.12,96.54,96.65,96.54,96.65,96.65,96.86,96.86,96.86,96.65,96.86,96.96,96.96,97.06,97.06,97.06,97.06,96.86,95.60,96.23,96.23,96.86,96.96,96.86,96.38,96.54,96.54,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.54,97.06,96.33,97.06,95.55,95.60,95.39,95.39,95.28,95.28,95.28,95.28,95.28,95.81,95.81,95.70,95.81,95.81,95.81,95.60,95.60,95.70,95.70,95.70,95.49,95.49,95.60,95.70,95.70,95.70,95.39,95.39,95.60,95.60,95.60,95.49,95.49,95.70,95.70,95.91,95.70,95.70,95.81,96.12,96.17,95.81,95.70,95.70,95.81,95.91,95.86,95.87,95.91,95.91,95.81,95.91,96.02,95.97,95.98,96.02,96.02,95.91,95.91,95.91,95.44,95.75,95.91,95.91,95.91,96.23,96.54,96.54,96.44,96.44
A-LC105573,87.00,86.90,87.21,87.00,87.21,87.21,87.21,87.21,93.06,98.01,98.32,98.32,,99.90,96.12,96.12,95.81,96.23,96.23,96.33,96.44,95.70,96.23,95.81,95.81,95.91,96.02,96.12,96.12,96.65,96.44,96.44,96.86,96.96,96.65,96.54,96.54,96.75,96.96,96.96,96.75,97.17,97.06,97.06,97.17,97.17,97.17,97.17,96.96,95.70,96.33,96.33,97.48,97.48,97.38,96.49,96.86,96.65,96.75,96.75,96.75,96.75,96.75,97.06,96.75,96.75,96.86,97.17,96.65,97.38,95.23,95.49,95.28,95.28,94.97,94.97,94.97,94.97,94.97,95.49,95.49,95.60,95.49,95.49,95.49,95.49,95.70,95.60,95.60,95.60,95.39,95.39,95.49,95.60,95.60,95.60,95.49,95.49,95.70,95.70,95.70,95.60,95.60,95.60,95.60,95.81,95.39,95.81,95.70,96.02,96.07,95.70,95.81,95.81,95.91,96.02,95.75,95.77,95.81,96.02,95.70,95.81,95.91,95.86,95.87,95.91,96.12,96.02,96.02,96.02,95.86,96.17,96.54,96.54,96.54,96.44,96.65,96.65,96.75,96.33
A-KJ752157,86.90,86.79,87.11,86.90,87.11,87.11,87.11,87.11,92.95,97.90,98.22,98.22,99.90,,96.02,96.02,95.70,96.12,96.12,96.23,96.33,95.60,96.12,95.70,95.70,95.81,95.91,96.02,96.02,96.54,96.33,96.33,96.75,96.86,96.54,96.44,96.44,96.65,96.86,96.86,96.65,97.06,96.96,96.96,97.06,97.06,97.06,97.06,96.86,95.60,96.23,96.23,97.38,97.38,97.27,96.38,96.75,96.54,96.65,96.65,96.65,96.65,96.65,96.96,96.65,96.65,96.75,97.06,96.54,97.27,95.13,95.39,95.18,95.18,94.86,94.86,94.86,94.86,94.86,95.39,95.39,95.49,95.39,95.39,95.39,95.39,95.60,95.49,95.49,95.49,95.28,95.28,95.39,95.49,95.49,95.49,95.39,95.39,95.60,95.60,95.60,95.49,95.49,95.49,95.49,95.70,95.28,95.70,95.60,95.91,95.96,95.60,95.70,95.70,95.81,95.91,95.65,95.66,95.70,95.91,95.60,95.70,95.81,95.75,95.77,95.81,96.02,95.91,95.91,95.91,95.75,96.07,96.44,96.44,96.44,96.33,96.54,96.54,96.65,96.23
A-LC514521,86.48,86.37,86.69,86.69,86.69,86.69,86.69,86.69,93.06,95.60,96.02,96.02,96.12,96.02,,100.00,99.69,96.96,97.80,97.27,97.38,97.27,97.59,97.38,97.38,97.48,97.59,97.69,97.69,98.22,96.96,96.96,97.17,97.27,97.38,97.17,97.17,97.27,97.48,97.48,97.38,97.69,97.80,97.80,97.90,97.90,97.90,97.90,96.65,96.33,96.96,96.96,96.75,97.17,97.27,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.86,97.27,97.27,97.59,97.69,97.17,97.90,96.38,96.33,96.86,96.86,96.33,96.33,96.33,96.33,96.33,96.65,96.65,96.54,96.65,96.65,96.65,96.65,96.65,96.75,96.75,96.75,96.54,96.54,96.86,96.75,96.75,96.75,96.44,96.86,96.65,96.65,96.65,96.75,96.75,96.75,96.75,96.96,96.54,96.96,96.75,97.17,97.12,96.86,96.75,96.75,96.86,96.96,96.92,96.93,96.96,96.96,96.86,96.96,97.06,97.03,97.04,97.06,97.27,97.17,96.96,96.96,96.28,96.91,97.06,97.06,97.06,97.27,97.38,97.38,97.69,97.27
A-LC514477,86.48,86.37,86.69,86.69,86.69,86.69,86.69,86.69,93.06,95.60,96.02,96.02,96.12,96.02,100.00,,99.69,96.96,97.80,97.27,97.38,97.27,97.59,97.38,97.38,97.48,97.59,97.69,97.69,98.22,96.96,96.96,97.17,97.27,97.38,97.17,97.17,97.27,97.48,97.48,97.38,97.69,97.80,97.80,97.90,97.90,97.90,97.90,96.65,96.33,96.96,96.96,96.75,97.17,97.27,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,96.86,97.27,97.27,97.59,97.69,97.17,97.90,96.38,96.33,96.86,96.86,96.33,96.33,96.33,96.33,96.33,96.65,96.65,96.54,96.65,96.65,96.65,96.65,96.65,96.75,96.75,96.75,96.54,96.54,96.86,96.75,96.75,96.75,96.44,96.86,96.65,96.65,96.65,96.75,96.75,96.75,96.75,96.96,96.54,96.96,96.75,97.17,97.12,96.86,96.75,96.75,96.86,96.96,96.92,96.93,96.96,96.96,96.86,96.96,97.06,97.03,97.04,97.06,97.27,97.17,96.96,96.96,96.28,96.91,97.06,97.06,97.06,97.27,97.38,97.38,97.69,97.27
A-LC514510,86.16,86.06,86.37,86.37,86.37,86.37,86.37,86.37,92.74,95.28,95.70,95.70,95.81,95.70,99.69,99.69,,96.65,97.48,96.96,97.06,96.96,97.27,97.06,97.06,97.17,97.27,97.38,97.38,97.90,96.65,96.65,96.86,96.96,97.06,96.86,96.86,96.96,97.17,97.17,97.06,97.38,97.48,97.48,97.59,97.59,97.59,97.59,96.33,96.02,96.65,96.65,96.44,96.86,96.96,96.91,96.86,96.86,96.96,96.96,96.96,96.96,96.96,96.54,97.17,97.17,97.27,97.38,96.86,97.59,96.07,96.02,96.54,96.54,96.02,96.02,96.02,96.02,96.02,96.33,96.33,96.23,96.33,96.33,96.33,96.33,96.33,96.44,96.44,96.44,96.23,96.23,96.54,96.44,96.44,96.44,96.12,96.54,96.33,96.33,96.33,96.44,96.44,96.44,96.44,96.65,96.23,96.65,96.44,96.86,96.80,96.54,96.44,96.44,96.54,96.65,96.60,96.61,96.65,96.65,96.54,96.65,96.75,96.71,96.72,96.75,96.96,96.86,96.65,96.65,95.96,96.59,96.75,96.75,96.75,96.96,97.06,97.06,97.38,96.96
A-MG181663,86.48,86.37,86.69,86.48,86.69,86.69,86.69,86.69,94.22,95.91,96.12,96.12,96.23,96.12,96.96,96.96,96.65,,97.69,97.59,97.69,97.17,97.48,97.27,97.27,97.38,97.48,98.22,98.22,98.32,96.86,96.86,97.06,97.38,97.27,97.06,97.06,97.38,97.59,97.59,97.27,97.59,97.69,97.69,97.80,97.80,97.80,97.80,96.75,97.06,97.59,97.59,97.69,98.11,98.01,97.33,97.48,97.48,97.59,97.59,97.59,97.59,97.59,97.59,97.80,97.80,97.90,98.01,97.48,98.22,96.07,96.65,96.54,96.54,96.23,96.23,96.23,96.23,96.23,96.54,96.54,96.65,96.75,96.75,96.75,96.75,96.75,96.86,96.86,96.86,96.65,96.65,96.75,96.86,96.86,96.86,96.75,96.75,96.96,96.96,96.96,96.86,96.86,96.65,96.65,96.86,96.65,96.65,96.86,97.27,97.22,96.96,96.86,96.86,96.96,97.06,97.03,97.04,97.06,97.06,96.96,97.06,97.17,97.13,97.14,97.17,97.59,97.48,97.17,97.17,96.59,97.22,97.38,97.38,97.38,97.59,97.69,97.69,98.01,97.59
A-KJ721766,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,93.69,95.70,95.91,95.91,96.23,96.12,97.80,97.80,97.48,97.69,,98.43,98.53,98.22,98.74,98.53,98.53,98.64,98.74,98.85,98.85,99.37,97.27,97.27,97.48,97.59,97.69,97.48,97.48,97.59,97.80,97.80,97.69,98.01,98.11,98.11,98.22,98.22,98.22,98.22,96.75,96.96,97.59,97.59,97.06,97.48,97.38,97.54,97.69,97.69,97.80,97.80,97.80,97.80,97.80,98.01,97.80,97.80,98.11,98.01,97.69,98.43,96.28,96.86,96.96,96.96,96.44,96.44,96.44,96.44,96.44,96.75,96.75,96.86,96.96,96.96,96.96,96.96,96.96,97.06,97.06,97.06,96.86,96.86,96.96,97.06,97.06,97.06,96.96,96.96,97.17,97.17,97.17,97.06,97.06,96.86,96.86,97.06,96.86,97.06,97.27,97.48,97.43,97.17,97.06,97.06,97.17,97.27,97.24,97.25,97.27,97.27,97.17,97.27,97.38,97.35,97.35,97.38,97.80,97.69,97.38,97.38,96.80,97.43,97.59,97.59,97.59,97.80,97.90,97.90,98.22,97.80
A-KF716404,86.06,85.95,86.27,86.06,86.27,86.27,86.27,86.27,93.38,95.81,95.81,95.81,96.33,96.23,97.27,97.27,96.96,97.59,98.43,,99.48,97.69,98.22,98.01,98.01,98.11,98.22,98.32,98.32,98.85,96.75,96.75,96.96,97.06,97.17,96.96,96.96,97.27,97.48,97.48,97.17,97.69,97.59,97.59,97.69,97.69,97.69,97.69,96.44,96.23,96.86,96.86,96.96,97.38,97.27,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,97.69,97.69,97.69,97.59,97.69,97.17,97.90,95.75,96.12,96.23,96.23,95.91,95.91,95.91,95.91,95.91,96.23,96.44,96.33,96.44,96.44,96.44,96.44,96.44,96.54,96.54,96.54,96.33,96.33,96.44,96.54,96.54,96.54,96.65,96.65,96.86,96.86,96.86,96.75,96.75,96.33,96.33,96.54,96.33,96.54,96.75,96.96,96.91,96.65,96.75,96.75,96.86,96.96,96.71,96.72,96.75,96.96,96.65,96.75,96.86,96.82,96.83,96.86,97.27,97.17,96.86,96.86,96.28,96.91,97.27,97.27,97.27,97.27,97.38,97.38,97.69,97.27
A-KF716397,85.74,85.64,85.95,85.74,85.95,85.95,85.95,85.95,93.48,95.91,95.91,95.91,96.44,96.33,97.38,97.38,97.06,97.69,98.53,99.48,,97.80,98.32,98.11,98.11,98.22,98.32,98.43,98.43,98.95,96.86,96.86,97.06,97.17,97.27,97.06,97.06,97.59,97.59,97.59,97.27,97.80,97.69,97.69,97.80,97.80,97.80,97.80,96.54,96.33,96.96,96.96,97.06,97.48,97.38,97.12,97.27,97.27,97.38,97.38,97.38,97.38,97.38,97.59,97.59,97.59,97.69,97.59,97.27,98.01,95.86,96.23,96.33,96.33,96.02,96.02,96.02,96.02,96.02,96.33,96.54,96.44,96.54,96.54,96.54,96.54,96.54,96.65,96.65,96.65,96.44,96.44,96.54,96.65,96.65,96.65,96.75,96.75,96.96,96.96,96.96,96.86,96.86,96.44,96.44,96.65,96.44,96.65,96.86,97.06,97.01,96.75,96.86,96.86,96.96,97.06,96.82,96.83,96.86,97.06,96.75,96.86,96.96,96.92,96.93,96.96,97.38,97.27,96.96,96.96,96.38,97.01,97.38,97.38,97.38,97.38,97.48,97.48,97.80,97.38
